Time (s),Engine Speed (RPM),Boost Target (psi),Boost Actual (psi),Ignition Timing Cyl 1 (deg),Timing Corr Cyl 1 (deg),HPFP Target (psi)
0.0,2000,10.0,9.8,12.0,0,2500
0.1,2200,12.0,11.5,12.5,0,2600
0.2,2500,14.0,13.8,13.0,0,2700
0.3,2800,16.0,15.5,13.5,-0.5,2800
0.4,3200,18.0,17.2,14.0,-1.0,2900
0.5,3600,20.0,19.5,14.5,-2.0,3000
0.6,4000,20.5,20.0,15.0,-2.5,3100
0.7,4500,21.0,20.5,15.5,-3.0,3100
0.8,5000,21.0,21.0,16.0,-1.5,3000
0.9,5500,20.5,20.6,16.5,0,2900
1.0,6000,19.0,19.5,17.0,0,2800
1.1,6500,18.0,18.2,17.5,0,2700
